2122.672	471.104
3712.984	538.588
7392.463	540.455
30237.4	529.70675
38489	839.645813
39188.2	1222.943875
38680.6	1649.297375
38178.8	2062.891813
38894.8	2448.523688
39052.7	2853.835188
39045	3234.872375
38965.4	3658.160375
40947.3	3890.429063
42050.8	4150.057
43402.6	4408.482
4282.981	233.482
7373.919	271.21
14396.816	277.021
60838.5	263.207437
75755.8	422.75175
78746	609.847063
76702.8	830.563
76189.3	1025.373313
75475.4	1243.534562
76473	1437.617688
76127.5	1646.938125
78836.9	1792.12
79541.2	1972.562688
82423.8	2096.49775
81508.7	2321.97725
